Execution Date/Time: Fri Oct 20 2017 13:08:24 GMT-0700 (PDT)

TWEET                         DATE                          
terakhir                      Wed Oct 18 00:40:28 +0000 2017
yeah                          Tue Oct 17 19:35:48 +0000 2017
HAHA                          Tue Oct 17 19:35:43 +0000 2017
what?                         Tue Oct 17 19:35:41 +0000 2017
i love me                     Tue Oct 17 19:35:38 +0000 2017
okay                          Tue Oct 17 19:35:34 +0000 2017
say it dumb!                  Tue Oct 17 19:35:29 +0000 2017
heyyy                         Tue Oct 17 19:35:23 +0000 2017
just say so!                  Tue Oct 17 19:35:19 +0000 2017
whayyyy?                      Tue Oct 17 19:35:13 +0000 2017
why dont you say so?          Tue Oct 17 19:35:04 +0000 2017
if you want                   Tue Oct 17 19:34:59 +0000 2017
once you wanted to begin      Tue Oct 17 19:34:54 +0000 2017
bombs are falling everywhere! Tue Oct 17 19:34:46 +0000 2017
understand my paijn!          Tue Oct 17 19:34:38 +0000 2017
john mayer                    Tue Oct 17 19:34:25 +0000 2017
bring me some WATA            Tue Oct 17 19:34:20 +0000 2017
wata?                         Tue Oct 17 19:34:14 +0000 2017
whataaaa?                     Tue Oct 17 19:34:10 +0000 2017
strikes                       Tue Oct 17 19:34:06 +0000 2017
============================================================

